,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
"('Ohio', 'Crosby, Stills, Nash & Young')",0.261,0.445,183733,0.529,Folk,0.0162,0,0.184,-10.94,1,0.026,79.296,4,0.749
"('Teach Your Children', 'Crosby, Stills, Nash & Young')",0.643,0.497,173467,0.285,Folk,1.66e-05,2,0.389,-14.537,1,0.0264,154.7,4,0.667
"('Almost Cut My Hair', 'Crosby, Stills, Nash & Young')",0.183,0.47,269173,0.471,Folk,0.00927,7,0.164,-10.484,1,0.0437,136.828,4,0.574
"('Carry On', 'Crosby, Stills, Nash & Young')",0.059,0.463,265933,0.495,Folk,1.25e-06,1,0.271,-12.203,1,0.041,118.505,4,0.532
"('Helpless', 'Crosby, Stills, Nash & Young')",0.86,0.538,217133,0.258,Folk,0.00599,2,0.134,-13.603,1,0.0309,114.151,4,0.376
"('Woodstock', 'Crosby, Stills, Nash & Young')",0.121,0.458,233773,0.539,Folk,0.00944,4,0.17,-12.402,0,0.0571,118.928,4,0.56
"('Helplessly Hoping', 'Crosby, Stills, Nash & Young')",0.911,0.493,159000,0.164,Folk,0.0,7,0.111,-13.853,1,0.0377,145.97,4,0.411
"('4 + 20', 'Crosby, Stills, Nash & Young')",0.929,0.64,126640,0.058,Folk,0.0797,4,0.113,-25.243,1,0.0388,140.957,4,0.126
"('Deja Vu', 'Crosby, Stills, Nash & Young')",0.808,0.454,252373,0.267,Folk,0.221,11,0.296,-15.915,0,0.036,137.119,4,0.203
"('Pink Moon', 'Nick Drake')",0.819,0.638,123333,0.256,Folk,0.0707,3,0.145,-15.68,1,0.0492,82.479,4,0.438
"('Northern Sky', 'Nick Drake')",0.552,0.53,224013,0.264,Folk,0.694,5,0.133,-18.16,0,0.038,90.048,4,0.489
"('One Of These Things First', 'Nick Drake')",0.836,0.604,290733,0.37,Folk,0.346,4,0.0954,-18.45,1,0.0362,90.339,3,0.666
"('Saturday Sun', 'Nick Drake')",0.966,0.546,245013,0.121,Folk,0.011,0,0.101,-20.259,1,0.0343,127.122,3,0.144
"('Place To Be', 'Nick Drake')",0.872,0.342,161293,0.224,Folk,0.163,5,0.109,-16.362,1,0.0357,53.477,4,0.404
"('River Man', 'Nick Drake')",0.852,0.473,258680,0.118,Folk,0.735,8,0.112,-20.098,1,0.0339,114.521,5,0.0921
"('Horn', 'Nick Drake')",0.917,0.578,81067,0.0226,Folk,0.823,1,0.139,-20.664,1,0.173,137.052,3,0.145
"('Free Ride', 'Nick Drake')",0.895,0.807,183987,0.117,Folk,0.24,0,0.111,-17.596,1,0.0621,120.246,4,0.595
"('From The Morning', 'Nick Drake')",0.864,0.639,152040,0.166,Folk,0.0752,0,0.115,-19.269,1,0.0446,109.227,4,0.398
"(""' Cello Song"", 'Nick Drake')",0.657,0.507,284987,0.39,Folk,0.859,3,0.0613,-17.218,1,0.0326,118.805,4,0.52
"('Leaving on a Jet Plane', 'Peter, Paul and Mary')",0.804,0.414,207240,0.167,Folk,0,9,0.117,-16.519,1,0.0484,133.45,4,0.384
"(""Don't Think Twice, It's All Right"", 'Peter, Paul and Mary')",0.893,0.437,196467,0.104,Folk,0.00124,3,0.11,-22.533,1,0.0307,101.718,4,0.544
"(""Blowin' in the Wind"", 'Peter, Paul and Mary')",0.834,0.381,177360,0.0848,Folk,0,5,0.112,-17.77,1,0.032,155.036,4,0.557
"('Puff, the Magic Dragon', 'Peter, Paul and Mary')",0.51,0.507,206867,0.088,Folk,0,9,0.0984,-23.309,1,0.0343,144.226,4,0.398
"('500 Miles', 'Peter, Paul and Mary')",0.858,0.436,162933,0.0695,Folk,0,7,0.107,-19.735,1,0.0298,97.128,4,0.255
"('Tell It on the Mountain', 'Peter, Paul and Mary')",0.757,0.619,178240,0.261,Folk,0,2,0.259,-10.632,1,0.0357,116.379,4,0.658
"('If I Had a Hammer - Remastered', 'Peter, Paul and Mary')",0.326,0.628,121053,0.423,Folk,0,9,0.16,-11.231,1,0.0365,100.082,4,0.353
"('Where Have All the Flowers Gone - Remastered', 'Peter, Paul and Mary')",0.911,0.4,236907,0.0887,Folk,2.58e-05,10,0.108,-16.696,1,0.0328,106.967,1,0.286
"('Michael Row the Boat Ashore', 'Peter, Paul and Mary')",0.769,0.506,163173,0.271,Folk,0,2,0.111,-10.234,1,0.0277,123.861,4,0.337
"('Lemon Tree - Remastered', 'Peter, Paul and Mary')",0.849,0.415,177773,0.15,Folk,0,4,0.13,-18.762,0,0.0513,163.726,4,0.223
